'Year SSP119        SSP126       SSP245     SSP370     SSP434     SSP460      SSP585      SSP534-over  RCP2.6     RCP4.5     RCP6.0      RCP8.5
1806  0.082430487   0.082430487  0.0824304  0.0824304  0.0824304  0.0824304   0.0822469   0.0824304    0.1464496  0.1464496  0.1464496   0.1464496
1807  0.083241357   0.083241357  0.0832413  0.0832413  0.0832413  0.0832413   0.0830672   0.0832413    0.1471350  0.1471350  0.1471350   0.1471350
1808  0.0792521     0.0792521    0.0792521  0.0792521  0.0792521  0.0792521   0.0787158   0.0792521    0.1422260  0.1422260  0.1422260   0.1422260
1809  -0.06982012   -0.06982012  -0.069820  -0.069820  -0.069820  -0.069820   -0.070058   -0.069820    0.0156288  0.0156288  0.0156288   0.0156288
1810  -0.3442007    -0.3442007   -0.344200  -0.344200  -0.344200  -0.344200   -0.344513   -0.344200    -0.272698  -0.272698  -0.272698   -0.272698
1811  -0.30826075   -0.30826075  -0.308260  -0.308260  -0.308260  -0.308260   -0.308587   -0.308260    -0.338384  -0.338384  -0.338384   -0.338384
1812  -0.18586675   -0.18586675  -0.185866  -0.185866  -0.185866  -0.185866   -0.185910   -0.185866    -0.194187  -0.194187  -0.194187   -0.194187
1813  -0.11116358   -0.11116358  -0.111163  -0.111163  -0.111163  -0.111163   -0.111191   -0.111163    -0.137656  -0.137656  -0.137656   -0.137656
1814  -0.06433965   -0.06433965  -0.064339  -0.064339  -0.064339  -0.064339   -0.064654   -0.064339    -0.115599  -0.115599  -0.115599   -0.115599
1815  -0.19478431   -0.19478431  -0.194784  -0.194784  -0.194784  -0.194784   -0.195129   -0.194784    -0.247959  -0.247959  -0.247959   -0.247959
1816  -0.54491317   -0.54491317  -0.544913  -0.544913  -0.544913  -0.544913   -0.545088   -0.544913    -0.625648  -0.625648  -0.625648   -0.625648
1817  -0.62169931   -0.62169931  -0.621699  -0.621699  -0.621699  -0.621699   -0.621797   -0.621699    -0.687516  -0.687516  -0.687516   -0.687516
1818  -0.42088125   -0.42088125  -0.420881  -0.420881  -0.420881  -0.420881   -0.421301   -0.420881    -0.450312  -0.450312  -0.450312   -0.450312
1819  -0.27400901   -0.27400901  -0.274009  -0.274009  -0.274009  -0.274009   -0.274398   -0.274009    -0.273364  -0.273364  -0.273364   -0.273364
1820  -0.18712896   -0.18712896  -0.187128  -0.187128  -0.187128  -0.187128   -0.187589   -0.187128    -0.159930  -0.159930  -0.159930   -0.159930
