year,month,temp_class,precip_class,rest
1,7,C,A,0
1,8,C,A,0
1,9,A,A,0
1,10,A,D,0
1,11,H,D,0
1,12,H,D,0
1,1,H,D,0
1,2,A,A,0
1,3,A,D,0
1,4,A,A,0
1,5,A,A,0
1,6,C,A,0
2,7,C,W,0
2,8,A,A,0
2,9,A,A,0
2,10,A,D,0
2,11,A,D,0
2,12,A,D,0
2,1,A,D,0
2,2,H,A,0
2,3,A,A,0
2,4,A,A,0
2,5,A,A,0
2,6,A,A,0
