created 2021-03-01T13:25:31.333570
,year,sim_mon_day,PGR
0,2024,7,0.04394291135577598
1,2024,8,1.5940970051637717
2,2024,9,12.381365809574715
3,2024,10,30.789139440250437
4,2024,11,55.60821212779555
5,2024,12,67.4715062832646
6,2025,1,74.72636154281729
7,2025,2,69.44469304432081
8,2025,3,55.10559155534759
9,2025,4,36.56701709604449
10,2025,5,9.554645753377772
11,2025,6,1.24251014072652
12,2025,7,0.3424524781032072
13,2025,8,8.154309960107522
14,2025,9,28.096673523919442
15,2025,10,49.738679279448846
16,2025,11,72.60072827277244
17,2025,12,82.3006910738767
18,2026,1,83.30694044134496
19,2026,2,75.57198298555323
20,2026,3,57.48678239613377
21,2026,4,38.16202418051559
22,2026,5,16.64563159217279
23,2026,6,2.7600445542689793
24,2026,7,0.8098119533777821
25,2026,8,10.06494845114414
26,2026,9,29.82226801832691
27,2026,10,51.383246295310364
28,2026,11,73.26197659149707
29,2026,12,83.56449965455062
30,2027,1,84.77977577868263
31,2027,2,76.13510464353459
32,2027,3,58.87192711855676
33,2027,4,38.850650179005754
34,2027,5,17.4192204337191
35,2027,6,3.4186649097100448
