month,year,rain,tmax,tmin,radn,pet,doy,sma,tmean,month_mapper
1,2007.25,2.044238459157005,24.463742863761613,12.286116069697464,23.237422253468633,5.165324123773803,16.0,8.941198550875589,18.312497743779254,1.0
2,2007.25,2.447189397621295,23.746919392249392,11.988695491452123,20.140220010481535,4.203998073518578,45.625,6.171288462756714,17.80642191420567,2.0
3,2007.25,2.45946928209287,22.019123894139923,10.401576521734098,15.349751125398454,3.1094312997907965,75.25,13.578842320833107,16.134473156207594,3.0
4,2007.25,2.6795852843856074,18.930328080803402,7.526688767186282,10.36846044360288,1.9366698295006186,105.75,13.682197707828207,13.023534703849856,4.0
5,2007.25,2.2776544300155197,15.652382076999794,4.865235266980076,6.857522824333815,1.1553020408737134,136.25,6.554969469074581,10.048589347913492,5.0
6,2007.25,2.896082778933665,12.54451169670537,2.4617078374763914,5.15206026519828,0.8001124527969836,166.75,4.71413221167805,7.221547879266234,6.0
7,2007.25,2.4697519425603582,11.855282124528685,2.1093067428328736,5.921879205987152,0.8496699420320603,197.25,2.3521615858491822,6.818143742287214,7.0
8,2007.25,3.1627501778025784,13.539592992129357,2.9369616623331196,8.537897153810118,1.3789682782331882,228.25,5.444311916582275,8.270940460555488,8.0
9,2007.25,2.2100434398813187,15.887731749257915,4.99691613748073,13.206806844038757,2.2940591568928115,258.75,9.662458443179965,10.258228280269988,9.0
10,2007.25,2.804781296147952,18.04269738413352,6.599513591103584,18.145783124824597,3.3293512901011537,289.25,12.768521764188126,12.259605428856624,10.0
11,2007.25,2.501338597430539,20.504008102508244,8.786822680901452,21.852752302873654,4.336992813445853,319.75,9.486486292655679,14.548264608522638,11.0
12,2007.25,2.6654105362404246,22.605688909182675,10.994004609476862,23.203017616852804,4.9821164114415435,350.25,5.1658104839738535,16.606966343958486,12.0
