dayofyear,date,hot_per,hot_err,cold_per,cold_err,dry_per,dry_err,wet_per,wet_err,month
1,2001-01-01,69.12878787878788,0.011945500742122306,0.0,,0.0,11.926759620757203,75.0,0.023192513365065677,1
2,2001-01-02,69.12878787878788,0.03293311316291536,0.0,,0.0,7.7779142909169465,75.56818181818181,0.022438138061307324,1
3,2001-01-03,68.93939393939394,0.03275558668888223,0.0,,0.0,6.314105253899079,74.43181818181819,0.02394688866882403,1
4,2001-01-04,69.6969696969697,0.03346569258503962,0.0,,0.0,3.900565533767555,75.37878787878788,0.022689596495898474,1
5,2001-01-05,69.6969696969697,0.0019085559700897647,0.0,,0.0,1.7944104204348434,76.70454545454545,0.02092938745381326,1
6,2001-01-06,68.93939393939394,0.0022341591645655967,0.0,,0.0,0.7914480368393342,76.51515151515152,0.06783688498338591,1
7,2001-01-07,68.56060606060606,0.0023969607618070654,0.0,,2.0833333333333335,0.17888646322894353,75.18939393939394,0.07223090268403783,1
8,2001-01-08,68.56060606060606,0.0023969607618070654,0.0,3.913914991947925,4.166666666666667,0.668741714342568,74.62121212121212,0.07411405312720128,1
9,2001-01-09,69.50757575757575,0.0019899567687069464,0.0,3.913914991947925,8.333333333333334,0.10989629129599443,74.62121212121212,0.07411405312720128,1
10,2001-01-10,69.50757575757575,0.0019899567687069464,0.0,3.913914991947925,20.833333333333332,0.04101808488335479,75.75757575757575,0.0742045802114866,1
11,2001-01-11,69.50757575757575,0.0019899567687069464,0.0,4.18759299072237,29.166666666666668,0.2675953686131951,75.18939393939394,0.07617812506019192,1
12,2001-01-12,67.8030303030303,0.0027225639562828974,0.0,4.154287102100767,27.083333333333332,0.013716347042302957,75.9469696969697,0.07354673192860456,1
13,2001-01-13,67.99242424242425,0.016656187047772164,0.0,4.154287102100767,29.166666666666668,0.3148045524074554,75.56818181818181,0.07486242849438837,1
14,2001-01-14,67.61363636363636,0.0195234794750192,0.0,4.154287102100767,27.083333333333332,0.5212786737334572,75.9469696969697,0.030482411937278936,1
15,2001-01-15,67.99242424242425,0.01920904163804238,0.0,4.154287102100767,27.083333333333332,0.02238272473890568,75.9469696969697,0.030482411937278936,1
16,2001-01-16,66.66666666666667,0.020309574067486125,0.0,4.154287102100767,33.333333333333336,0.6104267504482053,77.08333333333333,0.028569857042596583,1
17,2001-01-17,65.53030303030303,0.015848180706335313,0.0,4.154287102100767,33.333333333333336,0.03928100866030171,77.46212121212122,0.027932338744381884,1
18,2001-01-18,64.77272727272727,0.016358271613885478,0.0,4.154287102100767,31.25,0.8768499032346462,77.46212121212122,0.027932338744381884,1
19,2001-01-19,66.47727272727273,0.015210567071903824,0.0,4.154287102100767,31.25,0.20184737643409711,78.4090909090909,0.026338542998811665,1
20,2001-01-20,66.66666666666667,0.015212675487855876,0.0,4.154287102100767,31.25,0.15793522178244324,78.78787878787878,0.025701024700587403,1
21,2001-01-21,66.66666666666667,0.015212675487855876,0.0,4.154287102100767,31.25,0.15548975248638364,78.03030303030303,0.009771022686073357,1
22,2001-01-22,66.09848484848484,0.01559413885764016,0.0,4.154287102100767,31.25,0.779850806599292,78.78787878787878,0.00908926328310584,1
23,2001-01-23,67.42424242424242,0.014704057661472092,0.0,4.373908228663007,29.166666666666668,0.45095136882487097,78.78787878787878,0.00908926328310584,1
24,2001-01-24,67.61363636363636,0.003356907968210976,0.0,4.373908228663007,27.083333333333332,0.6413827022073768,80.3030303030303,0.007725744477170804,1
25,2001-01-25,66.47727272727273,0.0037261506643915254,0.0,4.373908228663007,25.0,0.2866014265318704,82.38636363636364,0.005850906119010129,1
26,2001-01-26,63.63636363636363,0.004649257404835794,0.0,5.378950070900041,27.083333333333332,0.041198225372459873,82.76515151515152,0.005510026417526371,1
27,2001-01-27,62.68939393939394,0.00495695965165055,0.0,5.206507379708739,29.166666666666668,0.15926651223454869,81.81818181818181,0.006362225671230652,1
28,2001-01-28,63.82575757575758,0.004587716955473553,0.0,4.583913428106172,29.166666666666668,0.32967242069350355,82.38636363636364,0.005850906119010129,1
29,2001-01-29,64.58333333333333,0.004341555158021038,0.0,4.200815444133326,31.25,1.1632121720870927,83.33333333333333,0.004998706865295617,1
30,2001-01-30,62.5,0.005018500101016343,0.0,4.200815444133326,31.25,0.5425965794997563,82.38636363636364,0.005850906119010129,1
31,2001-01-31,61.93181818181818,0.003292700947575611,0.0,4.200815444133326,31.25,0.42410187136939825,81.62878787878788,0.006532665521977647,1
32,2001-02-01,61.74242424242424,0.0032051793899654513,0.0,4.200815444133326,0.0,11.957902345923237,82.38636363636364,0.019676701272118582,2
33,2001-02-02,62.878787878787875,0.0037303087356264086,0.0,4.200815444133326,0.0,10.668489733256294,81.81818181818181,0.02063401421636997,2
34,2001-02-03,62.878787878787875,0.0037303087356264086,0.0,4.200815444133326,0.0,9.141058831064989,81.25,0.02159132716064051,2
35,2001-02-04,62.121212121212125,0.0028026773194334,0.0,3.1067929539789247,0.0,4.769350260579735,80.3030303030303,0.02318684873440878,2
36,2001-02-05,64.01515151515152,0.0015007583136394942,0.0,3.1067929539789247,0.0,2.5855738601835654,78.78787878787878,0.025739683252438014,2
37,2001-02-06,65.9090909090909,0.002479385528062039,0.0,3.1067929539789247,0.0,2.8309154549713824,78.03030303030303,0.02701610051145263,2
38,2001-02-07,67.8030303030303,0.0017790354661890717,0.0,3.1067929539789247,2.0833333333333335,1.8415594051866648,77.27272727272727,0.02829251777046725,2
39,2001-02-08,68.93939393939394,0.0013588254290652912,0.0,3.1067929539789247,4.166666666666667,0.21112803241533307,76.51515151515152,0.02956893502949144,2
40,2001-02-09,69.31818181818181,0.0012187554166906978,0.0,3.1067929539789247,4.166666666666667,0.0397121595993859,74.62121212121212,0.032759978177027985,2
41,2001-02-10,71.02272727272727,0.006491534668917609,0.0,3.1067929539789247,18.75,0.5021445405945251,75.56818181818181,0.031164456603250137,2
42,2001-02-11,72.1590909090909,0.006165774140722391,0.0,3.1067929539789247,22.916666666666668,0.15558055514388158,76.13636363636364,0.0432025177728286,2
43,2001-02-12,72.53787878787878,0.006057187297990652,0.0,3.1067929539789247,27.083333333333332,1.300976235095181,75.18939393939394,0.04531372879554522,2
44,2001-02-13,71.02272727272727,0.005708663428642069,0.0,3.1067929539789247,27.083333333333332,1.0640103426494427,75.75757575757575,0.044047002181907643,2
45,2001-02-14,70.83333333333333,0.005757840044516627,0.0,3.1067929539789247,27.083333333333332,0.14270955049600786,75.18939393939394,0.04531372879554522,2
46,2001-02-15,72.1590909090909,0.005413603733394723,0.0,3.840165544480149,29.166666666666668,0.1869042775541292,75.37878787878788,0.0553473084226302,2
47,2001-02-16,71.96969696969697,0.005462780349272833,0.0,3.9609519210642556,27.083333333333332,0.1832733796144126,75.18939393939394,0.05413877873785231,2
48,2001-02-17,72.53787878787878,0.00531525050164916,0.0,3.9609519210642556,27.083333333333332,0.6224123997415347,75.75757575757575,0.0526699517438567,2
49,2001-02-18,73.29545454545455,0.0051185440381509295,0.0,3.9609519210642556,27.083333333333332,0.042944401121271625,75.18939393939394,0.014602495142800919,2
50,2001-02-19,72.72727272727273,0.0052660738857746026,0.0,4.006162391621624,31.25,0.1909421606928099,75.9469696969697,0.013851273917072691,2
