# Generated by vcsn_npz_to_csv.ipynb    Author Bryn Gibson # depreciated due to error in detrending by BS
# This file contains vcsn data detrended by SWG Full Package 
# The data is for the coordinates lat_val: -43.372 lon_val: 172.333 
date,pr,tasmax,tasmin,rsds,evspsblpot
2001-01-01,0.0,290.88018124256223,277.06305823247027,279.7457471892509,4.80870559888527e-05
2001-01-02,0.0,289.18022169341793,280.3630571751573,189.46788127483882,3.651298138629668e-05
2001-01-03,0.0,293.5802377302111,278.56308053190685,356.13502268464543,5.966119896833753e-05
2001-01-04,0.0,294.9802537670042,284.3630794745939,329.5147037673037,6.313344818998974e-05
2001-01-05,0.0,299.2802942178599,284.3630906243122,337.61667488902435,6.660570104962074e-05
2001-01-06,0.0,295.680310254653,285.4631078775461,285.5333127587919,5.15593903164453e-05
2001-01-07,0.0,296.68033239496185,284.96311902726444,287.84823554066884,5.6189051581637304e-05
2001-01-08,0.0,298.1803545352706,286.1631118664358,297.10761633035827,6.081871284682932e-05
2001-01-09,0.00010350879892939702,294.98036446854815,284.463141326701,238.07981145110242,4.461499370809287e-05
2001-01-10,7.11016618879512e-05,288.08039271237254,284.8631463729037,108.45001682575281,2.030940117851419e-05
2001-01-11,0.0,292.0804148526813,281.6631453155907,275.11714297677037,5.040208374583627e-05
2001-01-12,0.0,296.0804369929901,279.3631686723403,348.03408602231923,5.9661382271251095e-05
2001-01-13,0.00018684366659726948,288.28047134033017,283.66316761502736,106.1355001982391,2.1466872504035784e-05
2001-01-14,0.0,290.0804812736077,280.26318486826125,314.4693820255262,5.387437370146927e-05
2001-01-15,0.0,294.6805095174321,279.4632082250108,336.4602691628719,6.892072880660432e-05
2001-01-16,0.0,295.18053165774086,284.5632254782447,291.3213955580301,6.892074917359471e-05
2001-01-17,0.0,296.080547694534,278.9632305244474,264.70107664068826,5.618925525154126e-05
2001-01-18,0.0,290.5805698348428,281.66322336361884,174.42321072627618,3.3041074765502394e-05
2001-01-19,0.0,294.480585871636,280.963252823884,262.3864641966297,4.5772605783557826e-05
2001-01-20,0.0,288.98060801194475,281.6632456630554,153.59004359471757,2.6096654152180763e-05
2001-01-21,0.0,298.2806484628004,281.76326291628936,241.55329706507106,6.197638602326545e-05
2001-01-22,0.0,298.68066449959355,278.163267962492,342.2480721418699,6.776345569401847e-05
2001-01-23,0.0,299.5806805363867,282.5633035262728,239.23868462101245,5.8504197902584444e-05
2001-01-24,0.0,292.7807148837267,285.9633085724755,218.40541404351438,4.80875244296318e-05
2001-01-25,3.869927968480624e-05,292.88071260997305,282.4633197221938,101.50710287763744,2.609675598713274e-05
2001-01-26,1.7866239431896247e-05,291.98074085379744,280.86332476839647,275.11869466586205,4.8087565163612594e-05
2001-01-27,0.0,290.9807629941062,276.9633420216304,304.05403981102023,4.693017712504199e-05
2001-01-28,0.0,291.980785134415,280.1633348608018,336.46161396008466,6.081912018663723e-05
2001-01-29,0.0,296.98080727472376,282.76335211403574,324.88762072633665,5.734690806098701e-05
2001-01-30,0.0,297.18084162206384,280.66335716023843,293.63769365469796,5.155987912421479e-05
2001-01-31,5.606247214018367e-05,299.78086986588823,286.1633683099567,207.98945115337176,5.966176924406861e-05
2001-02-01,0.0,292.780892006197,276.5634038737375,338.77687759735807,5.155991985819558e-05
2001-02-02,0.0,291.9808958359589,280.76339671290896,234.6100804085319,3.9985841617660746e-05
2001-02-03,0.0,299.6809301832989,282.0634261731741,228.82313551462758,5.271736899773737e-05
2001-02-04,0.0,303.8809340130608,284.1634129088299,309.84194623595766,8.628228405770008e-05
2001-02-05,3.754561839741655e-05,295.0809683604009,287.56344847261073,116.5545740959596,2.7254392067566896e-05
2001-02-06,7.4532949838612694e-06,290.1809966042253,282.86344741529774,172.11035686318812,3.419887378185971e-05
2001-02-07,0.0,294.6810187445341,277.0634707720473,293.6385212222135,4.808780956749734e-05
2001-02-08,0.0,299.18104088484284,281.5634819217656,263.5459427833873,5.850452377443077e-05
2001-02-09,0.0,296.28106912866724,281.46348696796827,309.8424634656549,5.8504544141421165e-05
2001-02-10,0.0,305.58107906194476,283.5635042212022,317.94443458737555,7.47083076521172e-05
2001-02-11,0.0,300.78111340928484,286.7634970603736,205.67575446397908,6.197681373006376e-05
2001-02-12,0.0,291.7811355495936,287.0635265206388,111.92565191626619,2.8411943042060664e-05
2001-02-13,0.0,297.9811393793555,283.0635376703571,300.58359990566265,5.618980516028194e-05
2001-02-14,0.0,305.68117372669553,286.46354271655974,207.990899396524,6.197687483103494e-05
2001-02-15,0.0,302.28120197051993,287.7635416592468,201.04654483465092,5.387502544516192e-05
2001-02-16,1.4401161024579778e-05,293.1812180073131,285.9635650159964,103.82419802424272,2.1467564981709227e-05
2001-02-17,1.9031142073799856e-05,294.98122794059066,283.2635639586834,268.1765124687173,4.693060483184029e-05
2001-02-18,0.0,294.6812622879307,284.0635934189486,176.74123688633645,3.535652659130546e-05
2001-02-19,0.0,291.4812722212082,284.4635984651513,82.99113433862354,1.915280745256901e-05
2001-02-20,0.0,296.0813004650326,282.8636035113539,162.8525277625903,2.956951620253423e-05
2001-02-21,0.0,296.48131650182575,282.86361466107223,245.02873289310008,4.3458457445140066e-05
2001-02-22,0.0,301.4813386421346,282.86362581079055,212.62136563591454,4.577329826123127e-05
2001-02-23,0.0,294.3813546789277,282.56364916754006,210.3066344871274,3.5356628426257434e-05
2001-02-24,0.0,300.3813768192365,283.2636420067115,239.24199489107465,4.693074740077306e-05
2001-02-25,0.0,293.4814050630609,282.9636653634611,85.3065743501977,1.4523287846815065e-05
2001-02-26,0.0,293.0814333068853,285.66365820263246,139.70493982006292,2.72548197743652e-05
