doy,smd
244,-15.611381493330613
245,-16.135662298461344
246,-16.6121205811283
247,-16.223336354958047
248,-17.37381014351582
249,-17.5054768853881
250,-18.362660263561853
251,-18.51761670040995
252,-17.808882179618028
253,-18.85340720930291
254,-19.850962335583425
255,-20.79917784510103
256,-21.125497177812456
257,-21.66006873717729
258,-23.058846262349107
259,-24.65664515510875
260,-26.102988335321108
261,-26.313816337426534
262,-27.19618945119058
263,-26.90839996158728
264,-28.359283602363984
265,-29.991254996357387
266,-30.253715863283396
267,-29.269478066607952
268,-27.513572358643742
269,-28.55607517600923
270,-29.262439360981237
271,-29.27320644119289
272,-30.00127019237811
273,-31.8437925240391
274,-31.501629890924274
275,-32.610036112473644
276,-32.636433582747216
277,-32.36053556917247
278,-32.813998970552355
279,-33.560687070554856
280,-33.48373908242459
281,-32.90057784666466
282,-33.345784865565804
283,-32.730875118880775
284,-32.72256800195389
285,-31.9123136147926
286,-31.07993814204042
287,-33.14537340390947
288,-34.78244370225942
289,-35.68347824063107
290,-36.180805341841506
291,-38.16300853277423
292,-40.255763750650836
293,-42.1261527830338
294,-43.91973055201446
295,-45.11089204481284
296,-45.61333092621285
297,-47.04565958102295
298,-47.75847362191176
299,-48.008815311074066
300,-49.637950804618555
301,-51.51764819930593
302,-52.01461009287175
303,-53.00326948536028
304,-54.38825104851996
305,-43.21848207668321
306,-43.755205190492845
307,-45.30321834264458
308,-47.15438945585534
309,-46.92755715248243
310,-47.84253671821671
311,-48.766747992291926
312,-50.908647099723474
313,-53.23584718413266
314,-56.068173783068346
315,-57.45181478881349
316,-58.73683501457064
317,-59.571899141982975
318,-61.39356070670222
319,-63.61657056965672
320,-63.8556893410279
321,-63.36810454860461
322,-62.615296403448056
323,-63.45836459356604
324,-63.888738534206226
325,-61.02745541632088
326,-62.26737391263201
327,-62.8559333399969
328,-63.51425780837199
329,-62.33490374526443
330,-63.04634913136271
331,-63.93966066585386
332,-63.94691523889354
333,-64.70967230192063
334,-65.90374682356001
335,-50.98521232544537
336,-52.066471659998555
337,-54.20606772010647
338,-55.55409966695951
339,-56.591768050257215
340,-57.43401607818494
341,-59.42974372459237
342,-59.07005148980114
343,-60.1777650400066
344,-61.47124980323716
345,-62.45674923065274
346,-63.52521141627754
347,-65.18064490483093
348,-66.61139796020811
349,-67.16046032204045
350,-67.88676461250884
351,-67.8136618400289
352,-69.32587973252109
353,-69.67537235417954
354,-68.2037282506165
355,-69.7361181230341
356,-69.73015698370543
357,-70.27294704692844
358,-71.0873453983662
359,-73.03138641601257
360,-75.50448110205784
361,-77.43876894979661
362,-77.06709117608024
363,-77.48910113234567
364,-77.04495791570181
365,-77.46978401804196
