,month,state,50,60,75,80,90,95,99
0,1,AT-AP,0.1388631100516968,0.2183926929077814,0.3583796534190764,0.4569492331187594,0.5201951850946966,0.5907646204828444,0.6117301001633246
1,1,AT-D,0.1436983112595606,0.1744747995690339,0.4282771976376709,0.5505616176657665,0.7459182069072251,0.7965574669955653,0.8370688750662375
2,1,AT-W,0.1388631100516968,0.2183926929077814,0.3583796534190764,0.4569492331187594,0.5201951850946966,0.5907646204828444,0.6117301001633246
3,1,C-AP,0.1388631100516968,0.2183926929077814,0.3583796534190764,0.4569492331187594,0.5201951850946966,0.5907646204828444,0.6117301001633246
4,1,C-D,0.1436983112595606,0.1744747995690339,0.4282771976376709,0.5505616176657665,0.7459182069072251,0.7965574669955653,0.8370688750662375
5,1,C-W,0.1388631100516968,0.2183926929077814,0.3583796534190764,0.4569492331187594,0.5201951850946966,0.5907646204828444,0.6117301001633246
6,1,H-AP,0.1388631100516968,0.2183926929077814,0.3583796534190764,0.4569492331187594,0.5201951850946966,0.5907646204828444,0.6117301001633246
7,1,H-D,0.1436983112595606,0.1744747995690339,0.4282771976376709,0.5505616176657665,0.7459182069072251,0.7965574669955653,0.8370688750662375
8,1,H-W,0.1388631100516968,0.2183926929077814,0.3583796534190764,0.4569492331187594,0.5201951850946966,0.5907646204828444,0.6117301001633246
9,2,AT-AP,0.2166419146747943,0.4618988646555147,0.5096144030085166,0.644869892925161,0.786841689368185,0.8914354851899087,0.9522702516364064
10,2,AT-D,0.8704737392522801,0.8721101699655712,0.9292093683982212,0.9478744079900624,0.9806975739022588,0.9903487869511294,0.998069757390226
11,2,AT-W,0.2166419146747943,0.4618988646555147,0.5096144030085166,0.644869892925161,0.786841689368185,0.8914354851899087,0.9522702516364064
12,2,C-AP,0.2166419146747943,0.4618988646555147,0.5096144030085166,0.644869892925161,0.786841689368185,0.8914354851899087,0.9522702516364064
13,2,C-W,0.2166419146747943,0.4618988646555147,0.5096144030085166,0.644869892925161,0.786841689368185,0.8914354851899087,0.9522702516364064
14,2,H-AP,0.2166419146747943,0.4618988646555147,0.5096144030085166,0.644869892925161,0.786841689368185,0.8914354851899087,0.9522702516364064
15,2,H-D,0.8704737392522801,0.8721101699655712,0.9292093683982212,0.9478744079900624,0.9806975739022588,0.9903487869511294,0.998069757390226
16,2,H-W,0.2166419146747943,0.4618988646555147,0.5096144030085166,0.644869892925161,0.786841689368185,0.8914354851899087,0.9522702516364064
17,3,AT-AP,0.3040816738254581,0.3940032981336562,0.6623705643240959,0.7160507784625478,0.9197249356839896,0.9747941844257256,0.9919479905311718
18,3,AT-D,0.5036419714769128,0.5411558539629647,0.6186484052513593,0.6835970802623916,0.7843240029359122,0.790931823249857,0.7962180795010129
19,3,AT-W,0.3040816738254581,0.3940032981336562,0.6623705643240959,0.7160507784625478,0.9197249356839896,0.9747941844257256,0.9919479905311718
20,3,C-AP,0.3040816738254581,0.3940032981336562,0.6623705643240959,0.7160507784625478,0.9197249356839896,0.9747941844257256,0.9919479905311718
21,3,C-D,0.5036419714769128,0.5411558539629647,0.6186484052513593,0.6835970802623916,0.7843240029359122,0.790931823249857,0.7962180795010129
22,3,C-W,0.3040816738254581,0.3940032981336562,0.6623705643240959,0.7160507784625478,0.9197249356839896,0.9747941844257256,0.9919479905311718
23,3,H-AP,0.3040816738254581,0.3940032981336562,0.6623705643240959,0.7160507784625478,0.9197249356839896,0.9747941844257256,0.9919479905311718
24,3,H-D,0.5036419714769128,0.5411558539629647,0.6186484052513593,0.6835970802623916,0.7843240029359122,0.790931823249857,0.7962180795010129
25,3,H-W,0.3040816738254581,0.3940032981336562,0.6623705643240959,0.7160507784625478,0.9197249356839896,0.9747941844257256,0.9919479905311718
26,4,AT-AP,0.1379687558214134,0.1898797894977055,0.4450962537962937,0.4920027082819732,0.6936667034193627,0.8730362881343382,0.955345649613091
27,4,AT-D,0.4807945889037193,0.5411690501079043,0.6431307875174141,0.6656808466200816,0.729641568781522,0.7768544367944744,0.8146247312048366
28,4,AT-W,0.1379687558214134,0.1898797894977055,0.4450962537962937,0.4920027082819732,0.6936667034193627,0.8730362881343382,0.955345649613091
29,4,C-AP,0.1379687558214134,0.1898797894977055,0.4450962537962937,0.4920027082819732,0.6936667034193627,0.8730362881343382,0.955345649613091
30,4,C-D,0.4807945889037193,0.5411690501079043,0.6431307875174141,0.6656808466200816,0.729641568781522,0.7768544367944744,0.8146247312048366
