0=normal temp: -1=cold; ; 1=hot; Precip: -1=wet; 1=dry; rest: 1=anomalous restrictions. prev_{} = previous months data  
month,year,temp,precip,rest,rest_cum,prev_temp,prev_precip,prev_rest,prev_rest_cum
4,1977,0.0,1.0,1.0,10.37208126041178,0.0,1.0,0.0,6.712189862934335
5,1977,-1.0,0.0,0.0,0.48848182508572424,0.0,1.0,1.0,10.37208126041178
6,1977,-1.0,0.0,0.0,0.40699545345998617,-1.0,0.0,0.0,0.48848182508572424
7,1977,-1.0,0.0,0.0,0.1512960078391379,-1.0,0.0,0.0,0.40699545345998617
8,1977,-1.0,0.0,0.0,7.739925395806122,-1.0,0.0,0.0,0.1512960078391379
9,1977,-1.0,-1.0,0.0,1.7100211376108947,-1.0,0.0,0.0,7.739925395806122
10,1977,0.0,1.0,0.0,0.0,-1.0,-1.0,0.0,1.7100211376108947
11,1977,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
12,1977,1.0,0.0,0.0,0.1304516981729609,0.0,1.0,0.0,0.0
1,1978,1.0,0.0,0.0,4.759647052443668,1.0,0.0,0.0,0.1304516981729609
2,1978,1.0,1.0,1.0,26.296466001293943,1.0,0.0,0.0,4.759647052443668
3,1978,1.0,1.0,1.0,25.45336242110595,1.0,1.0,1.0,26.296466001293943
4,1978,0.0,0.0,0.0,8.022283218520725,1.0,1.0,1.0,25.45336242110595
5,1978,0.0,0.0,0.0,3.7489125813545265,0.0,0.0,0.0,8.022283218520725
6,1978,-1.0,-1.0,0.0,0.13131788736952618,0.0,0.0,0.0,3.7489125813545265
7,1978,-1.0,-1.0,0.0,0.43558122742919353,-1.0,-1.0,0.0,0.13131788736952618
8,1978,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.43558122742919353
9,1978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,1978,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
11,1978,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
12,1978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1979,1.0,1.0,0.0,2.235239910725121,0.0,0.0,0.0,0.0
2,1979,1.0,0.0,0.0,2.895774444398152,1.0,1.0,0.0,2.235239910725121
3,1979,0.0,0.0,0.0,0.4133809294688912,1.0,0.0,0.0,2.895774444398152
4,1979,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4133809294688912
5,1979,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0
6,1979,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
7,1979,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
8,1979,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
9,1979,0.0,1.0,0.0,0.0,-1.0,0.0,0.0,0.0
10,1979,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
11,1979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,1979,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1980,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2,1980,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
3,1980,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
4,1980,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1980,0.0,1.0,0.0,2.0822801996706866,0.0,0.0,0.0,0.0
6,1980,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0822801996706866
7,1980,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
8,1980,-1.0,0.0,0.0,0.7231912399006867,-1.0,0.0,0.0,0.0
9,1980,0.0,1.0,0.0,0.0,-1.0,0.0,0.0,0.7231912399006867
10,1980,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
11,1980,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
12,1980,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1981,1.0,0.0,0.0,5.467271962024588,1.0,0.0,0.0,0.0
2,1981,1.0,1.0,0.0,8.97073917257938,1.0,0.0,0.0,5.467271962024588
3,1981,0.0,0.0,0.0,6.560798158198067,1.0,1.0,0.0,8.97073917257938
4,1981,0.0,0.0,0.0,3.821716568790655,0.0,0.0,0.0,6.560798158198067
5,1981,0.0,0.0,0.0,8.729409558202413,0.0,0.0,0.0,3.821716568790655
6,1981,-1.0,-1.0,0.0,3.1826582158036247,0.0,0.0,0.0,8.729409558202413
7,1981,-1.0,0.0,0.0,2.862970827997249,-1.0,-1.0,0.0,3.1826582158036247
8,1981,-1.0,-1.0,0.0,9.035289285580586,-1.0,0.0,0.0,2.862970827997249
9,1981,0.0,0.0,0.0,6.232864420665786,-1.0,-1.0,0.0,9.035289285580586
10,1981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.232864420665786
11,1981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,1981,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1982,1.0,0.0,0.0,2.485808103693022,1.0,1.0,0.0,0.0
2,1982,1.0,1.0,0.0,9.691425844505146,1.0,0.0,0.0,2.485808103693022
3,1982,1.0,1.0,1.0,17.732283698768306,1.0,1.0,0.0,9.691425844505146
4,1982,0.0,0.0,1.0,19.947142349066553,1.0,1.0,1.0,17.732283698768306
5,1982,0.0,0.0,0.0,7.374533103119412,0.0,0.0,1.0,19.947142349066553
6,1982,-1.0,0.0,0.0,0.2047835285721272,0.0,0.0,0.0,7.374533103119412
7,1982,-1.0,0.0,0.0,13.755613763731173,-1.0,0.0,0.0,0.2047835285721272
8,1982,0.0,0.0,0.0,0.5489252931600908,-1.0,0.0,0.0,13.755613763731173
9,1982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5489252931600908
10,1982,0.0,0.0,0.0,0.9944398320650507,0.0,0.0,0.0,0.0
11,1982,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9944398320650507
12,1982,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1,1983,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2,1983,0.0,0.0,0.0,14.25867698327232,1.0,1.0,0.0,0.0
3,1983,0.0,1.0,1.0,20.488588186754797,0.0,0.0,0.0,14.25867698327232
4,1983,0.0,0.0,0.0,0.0,0.0,1.0,1.0,20.488588186754797
5,1983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1983,-1.0,0.0,0.0,0.8797293238434056,0.0,0.0,0.0,0.0
7,1983,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.8797293238434056
8,1983,-1.0,0.0,0.0,0.3447911230200636,-1.0,0.0,0.0,0.0
9,1983,0.0,0.0,0.0,1.980132408175575,-1.0,0.0,0.0,0.3447911230200636
10,1983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.980132408175575
11,1983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,1983,0.0,0.0,0.0,0.8673248886592434,0.0,0.0,0.0,0.0
