year,month,temp_class,precip_class,rest
1,7,C,A,0
1,8,A,A,0
1,9,A,A,0
1,10,A,A,0
1,11,A,A,0
1,12,A,A,0
1,1,A,A,0
1,2,A,A,0
1,3,A,A,0
1,4,A,A,0.4
1,5,A,A,0.3
1,6,A,A,0
2,7,C,A,0
2,8,A,A,0
2,9,A,A,0
2,10,A,A,0
2,11,A,A,0
2,12,A,A,0
2,1,A,A,0
2,2,A,A,0.2
2,3,A,A,0
2,4,A,A,0.9
2,5,A,A,0
2,6,A,A,0
