# Generated by vcsn_npz_to_csv.ipynb    Author Bryn Gibson
# This file contains vcsn data detrended by SWG Full Package 
# The data is for the coordinates lat_val: -43.372 lon_val: 172.333 
date,pr,tasmax,tasmin,rsds,evspsblpot
1972-01-01,0.0,305.6869142377156,290.12172081669314,308.0955871825601,8.728242824325376e-05
1972-01-02,0.0,301.6868894891423,291.4216747378597,136.79887210766262,5.950447438717317e-05
1972-01-03,0.0,300.5868586370533,283.7216591766043,403.0031335952651,7.686552110754774e-05
1972-01-04,0.0,297.18683999199556,285.42160699425517,368.28075934068016,7.802282104623785e-05
1972-01-05,0.0,292.48683355396906,283.1215853294842,296.5212757110952,4.098558903173285e-05
1972-01-06,0.0002699256001506001,292.9868088053957,283.12155145768196,149.53017892233052,2.941137831935792e-05
1972-01-07,0.0001356665015919134,287.58675964275983,280.92150537884845,212.03026255348774,3.0568681896026836e-05
1972-01-08,0.0,291.3867532047334,279.7214898175931,269.9006922539809,4.6772312934882785e-05
1972-01-09,0.0,295.48673455967565,282.421437635244,287.2618140931459,4.90870249171127e-05
1972-01-10,0.0,298.9867098111023,283.2214220739886,304.6229054147328,6.413324755040765e-05
1972-01-11,6.038517767592566e-06,290.5866606484664,285.2213882021864,184.25220047167127,2.2466378275679845e-05
1972-01-12,0.0,298.08663589989305,281.92133601983727,320.8265333704066,6.644784742778788e-05
1972-01-13,0.000117150841106195,298.3866294618666,286.8212960445194,121.75194811728645,3.519766835502429e-05
1972-01-14,0.0,294.88660471329325,280.9212682762328,348.60425800576786,6.644763049404609e-05
1972-01-15,0.0,289.8865799647199,281.3212283009149,291.89110005977665,4.329932481212473e-05
1972-01-16,0.0,292.68654300911527,279.4212005326283,334.71520407667606,4.908626564901646e-05
1972-01-17,0.0,299.4865365710888,280.9211666608261,330.0855422244348,6.18176678332106e-05
1972-01-18,0.0,291.7864996154842,285.3211266855082,154.15915796008423,3.519712602066983e-05
1972-01-19,3.727580178747303e-06,297.1864687633952,283.32109281370595,250.22413722112424,4.7928531842842775e-05
1972-01-20,0.0,289.68644401482186,283.82105894190374,180.77948818626584,3.288209045681664e-05
1972-01-21,0.0,294.08641316273287,284.4210311736171,279.1592715244543,4.9085723314662e-05
1972-01-22,0.0,293.6863945176751,280.8209911982992,295.3629531780724,4.5613385993129304e-05
1972-01-23,0.0,293.28637587261744,284.92096343001265,293.0481106617687,5.1400323192042216e-05
1972-01-24,0.0,297.68634502052845,280.4209295582104,338.1870340146056,6.876136991241678e-05
1972-01-25,0.0,295.88633247898633,283.8208895828925,169.20512301685656,3.9826011288754004e-05
1972-01-26,0.0,296.88630773041297,283.6208740216372,298.8349979077794,5.718705073317095e-05
1972-01-27,0.0,298.4862890853552,282.92082794280367,305.7793717000694,5.834435430983988e-05
1972-01-28,3.9611662941752e-05,297.88625823326623,285.8207879674858,124.06597724284771,3.288122272184951e-05
1972-01-29,0.0,294.2862273811773,283.9207601991992,237.49209389402446,5.024226398525587e-05
1972-01-30,0.0,294.6861965290883,278.8207202238813,355.5478568464707,5.718661686568739e-05
1972-01-31,0.00021438203111756593,293.68617178051494,285.32068635207906,306.93656657626076,5.9501328847917306e-05
1972-02-01,0.0,289.7861531354572,280.62067079082374,319.6680497435508,4.098266042621876e-05
1972-02-02,0.0,292.78612838688383,280.42062471199023,267.5845304694345,4.561219285754949e-05
1972-02-03,0.0,297.88610974182615,279.92059084018797,331.24203902734956,5.602877095466402e-05
1972-02-04,0.0,300.28607888973715,283.22057527893264,312.7234001243271,6.065830338599474e-05
1972-02-05,0.0,292.68604803764816,287.02052920009913,132.1674077056796,2.9408124313231157e-05
1972-02-06,0.0,294.7860293925904,279.42048922478125,346.28820361711024,5.139880465584972e-05
1972-02-07,0.0,294.5859924369858,279.42045535297905,320.8251372238534,5.2556111870497454e-05
1972-02-08,0.00010674678924260661,297.38598599895937,282.62043368820804,275.68610647512776,5.602822862030956e-05
1972-02-09,2.580369027782581e-06,288.885961250386,281.92038760937453,199.29696891487876,3.9824384285690634e-05
1972-02-10,0.0,296.58591819126576,282.52035984108795,303.4638311104891,4.7926145571683154e-05
1972-02-11,4.896161499345908e-06,290.38591175323927,285.0203259692857,112.49112116254474,2.4777834432793597e-05
1972-02-12,0.0,289.3858870046659,284.02029209748343,139.11148982788163,2.3620315741372298e-05
1972-02-13,0.0,294.08584394554566,279.9202521221656,330.08409237993726,5.2555461069272105e-05
1972-02-14,0.0,295.48584361103485,282.42021825036335,328.92659849644605,5.139793692088259e-05
1972-02-15,0.0,295.9858188624615,281.62019658559234,324.2969061266267,4.79256032373287e-05
1972-02-16,0.0,296.4857941138881,281.32014440324326,287.25977357126044,4.329585387225619e-05
1972-02-17,0.0,290.6857510547679,285.1201288419879,126.37971499050363,2.361977340701784e-05
1972-02-18,0.0,293.6857263061945,285.02008886667,171.51865360212958,2.940671424390956e-05
1972-02-19,0.0,296.1857015576212,286.22006720189904,237.49096623719305,4.676775732630533e-05
1972-02-20,0.0,301.28568291256346,284.02002112306553,217.81494818377993,4.908246930853524e-05
1972-02-21,0.0,298.68565206047447,286.7199994582945,202.76855354345275,3.40360297414985e-05
1972-02-22,0.0,298.38563951893235,287.41994727594545,213.18518685722717,4.213779466546984e-05
1972-02-23,4.3096519220853224e-05,299.18560256332773,287.71993171469006,203.9258558155328,4.4452503009720946e-05
1972-02-24,3.962477421737276e-05,287.28558391827005,284.6198917393722,76.61070812344784,1.7831963925664286e-05
1972-02-25,0.0,295.8855652732123,277.61985786757,302.3055854557769,4.908192697418078e-05
