dayofyear,date,hot_per,hot_err,cold_per,cold_err,dry_per,dry_err,wet_per,wet_err,month
1,2001-01-01,81.25,0.09051042560217581,,,25.0,0.7580406576834875,,,1
2,2001-01-02,66.66666666666667,0.08232582134623456,,,18.75,0.47661820256384857,,,1
3,2001-01-03,64.58333333333333,0.1515726366730199,,,20.833333333333332,0.46153935438777083,,,1
4,2001-01-04,70.83333333333333,0.04160527300870953,,,18.75,0.5889373361767412,,,1
5,2001-01-05,72.91666666666667,0.20584954451709336,,,20.833333333333332,0.4608714830937721,,,1
6,2001-01-06,79.16666666666667,0.24573720595440207,,,18.75,0.49888088868394576,,,1
7,2001-01-07,77.08333333333333,0.14816732076341665,,,18.75,0.45271436705755264,,,1
8,2001-01-08,75.0,0.39302901239855714,,,20.833333333333332,0.326852016309946,,,1
9,2001-01-09,79.16666666666667,0.10051046037672506,,,25.0,2.6291606720396636,,,1
10,2001-01-10,81.25,0.023734232147898382,,,22.916666666666668,0.44873746832939077,,,1
11,2001-01-11,70.83333333333333,0.15846875520293224,,,31.25,0.04589095765564011,,,1
12,2001-01-12,72.91666666666667,0.0005890631238330002,,,29.166666666666668,1.0139595728248096,,,1
13,2001-01-13,68.75,0.007630307281285553,,,31.25,0.0858517169326447,,,1
14,2001-01-14,72.91666666666667,0.5791119697951359,,,29.166666666666668,0.7666233730125,,,1
15,2001-01-15,68.75,0.7565019011978045,,,27.083333333333332,0.35578605687480547,,,1
16,2001-01-16,68.75,0.1997538504724723,,,22.916666666666668,0.6806877484321809,,,1
17,2001-01-17,64.58333333333333,0.05947197847281771,,,22.916666666666668,1.5434910654231544,,,1
18,2001-01-18,75.0,0.06754379400517507,,,18.75,0.6889715235112064,,,1
19,2001-01-19,66.66666666666667,0.5928513133503657,,,18.75,1.8915438703234102,,,1
20,2001-01-20,83.33333333333333,0.12012381037472863,,,18.75,1.1668142121005047,,,1
21,2001-01-21,60.416666666666664,0.042945858693400396,,,18.75,1.2661007209409405,,,1
22,2001-01-22,58.333333333333336,0.08757926791477288,,,16.666666666666668,0.30126470598974464,,,1
23,2001-01-23,66.66666666666667,0.08668212516349882,,,16.666666666666668,1.6749712860310062,,,1
24,2001-01-24,83.33333333333333,0.01811296854231159,,,16.666666666666668,0.31233247042368717,,,1
25,2001-01-25,81.25,0.0043296269034236445,,,20.833333333333332,0.31154485199630244,,,1
26,2001-01-26,72.91666666666667,0.05188545212191542,,,25.0,1.16850088705311,,,1
27,2001-01-27,66.66666666666667,0.004734824728778619,,,18.75,0.03710494791227603,,,1
28,2001-01-28,77.08333333333333,0.017419464885154667,,,20.833333333333332,0.08191373148892822,,,1
29,2001-01-29,83.33333333333333,0.0713413729927197,,,20.833333333333332,1.2795023610676992,,,1
30,2001-01-30,60.416666666666664,0.11583646242445056,,,20.833333333333332,1.556332532062278,,,1
31,2001-01-31,52.083333333333336,0.08663301259136347,,,18.75,0.14194193454996196,,,1
32,2001-02-01,54.166666666666664,0.12024739091359748,,,18.75,0.19270182332078178,,,2
33,2001-02-02,72.91666666666667,0.06630898837491372,,,18.75,0.0543570158687956,,,2
34,2001-02-03,70.83333333333333,0.5501589399755957,,,18.75,0.6855717948214455,,,2
35,2001-02-04,58.333333333333336,0.20572632772331545,,,18.75,3.507452961787159,,,2
36,2001-02-05,70.83333333333333,0.043892938216401944,,,18.75,0.5862959766084828,,,2
37,2001-02-06,68.75,0.11485148567525982,,,18.75,0.35949126154504185,,,2
38,2001-02-07,81.25,0.07061751630684654,,,16.666666666666668,2.0894402009661306,,,2
39,2001-02-08,72.91666666666667,0.5693797282700714,,,18.75,0.36265590992335106,,,2
40,2001-02-09,66.66666666666667,0.10229098749611865,,,18.75,0.015965866812397422,,,2
41,2001-02-10,77.08333333333333,0.17561004743854625,,,20.833333333333332,0.057587783725736585,,,2
42,2001-02-11,75.0,0.09270546870132534,,,33.333333333333336,0.7480046110915666,,,2
43,2001-02-12,72.91666666666667,0.11972646762487571,,,33.333333333333336,0.45909183394551434,,,2
44,2001-02-13,85.41666666666667,0.09000451896195116,,,29.166666666666668,0.7214692988875271,,,2
45,2001-02-14,79.16666666666667,0.04703741290984098,,,29.166666666666668,0.40368924946496065,,,2
46,2001-02-15,77.08333333333333,0.3235525680989326,,,31.25,0.09331241696872183,,,2
47,2001-02-16,83.33333333333333,0.25831959726478715,,,35.416666666666664,1.2939468283157254,,,2
48,2001-02-17,75.0,0.02402869442042288,,,35.416666666666664,0.6891378327924542,,,2
49,2001-02-18,68.75,0.1397565197296693,,,35.416666666666664,0.37129604830557383,,,2
50,2001-02-19,68.75,0.5152058253037595,,,35.416666666666664,0.4710234805208593,,,2
51,2001-02-20,81.25,0.05547411339976449,,,35.416666666666664,0.0013222766313703005,,,2
52,2001-02-21,77.08333333333333,0.22946809486316155,,,35.416666666666664,0.14842967924672834,,,2
53,2001-02-22,81.25,0.2743035231286939,,,33.333333333333336,2.7097074991850825,,,2
54,2001-02-23,81.25,0.16940775016014342,,,31.25,0.38977340102117,,,2
55,2001-02-24,75.0,0.07932326290691094,,,31.25,0.8032953551356457,,,2
56,2001-02-25,72.91666666666667,0.048674731080563305,,,29.166666666666668,0.7069063893924437,,,2
57,2001-02-26,85.41666666666667,0.01101458755732665,,,31.25,0.043508325524616254,,,2
58,2001-02-27,83.33333333333333,0.1616801860659578,,,31.25,0.19358608653463705,,,2
59,2001-02-28,72.91666666666667,0.16313216351611715,,,33.333333333333336,0.37072317197496574,,,2
60,2001-03-01,77.08333333333333,0.29485482730304113,,,31.25,0.14432803567311936,,,3
